model,family,preprocessor,fold,seed,status,error,warnings,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,run_id,scenario,scenario_description
linear_svc,svm,standard,1,1,ok,,,0.722,0.6947619047619048,0.5310734463276836,0.6266666666666667,0.5749235474006116,0.7687761904761904,0.16108660000008967,0.045930000000225846,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
linear_svc,svm,standard,2,1,ok,,,0.721,0.7054761904761905,0.5277044854881267,0.6666666666666666,0.5891016200294551,0.7764047619047618,0.16457510000054754,0.045992800000021816,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
linear_svc,svm,standard,3,1,ok,,,0.724,0.7085714285714286,0.5317460317460317,0.67,0.5929203539823009,0.778852380952381,0.1678252000001521,0.045550099999672966,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
random_forest,ensemble_tree,standard,1,1,ok,,,0.741,0.5911904761904763,0.7303370786516854,0.21666666666666667,0.3341902313624679,0.7463309523809524,0.48776420000012877,0.0852617000000464,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
random_forest,ensemble_tree,standard,2,1,ok,,,0.741,0.5911904761904763,0.7303370786516854,0.21666666666666667,0.3341902313624679,0.7459547619047618,0.4685428000002503,0.0839880000003177,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
random_forest,ensemble_tree,standard,3,1,ok,,,0.738,0.5852380952380952,0.7261904761904762,0.20333333333333334,0.3177083333333333,0.7312476190476189,0.4717265999997835,0.08321839999916847,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
hist_gradient_boosting,boosting,dense,1,1,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
hist_gradient_boosting,boosting,dense,2,1,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
hist_gradient_boosting,boosting,dense,3,1,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
mlp,neural_network,standard,1,1,ok,,,0.736,0.6371428571428571,0.5909090909090909,0.39,0.46987951807228917,0.7415428571428572,0.40522969999983616,0.048276099999384314,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
